barrio,dia,hora,cantidad
SAAVEDRA,Friday,96,6
SAAVEDRA,Friday,97,7
SAAVEDRA,Friday,98,0
SAAVEDRA,Friday,99,1
SAAVEDRA,Friday,100,0
SAAVEDRA,Friday,101,2
SAAVEDRA,Friday,102,0
SAAVEDRA,Friday,103,6
SAAVEDRA,Friday,104,29
SAAVEDRA,Friday,105,35
SAAVEDRA,Friday,106,41
SAAVEDRA,Friday,107,36
SAAVEDRA,Friday,108,38
SAAVEDRA,Friday,109,36
SAAVEDRA,Friday,110,36
SAAVEDRA,Friday,111,27
SAAVEDRA,Friday,112,25
SAAVEDRA,Friday,113,28
SAAVEDRA,Friday,114,30
SAAVEDRA,Friday,115,24
SAAVEDRA,Friday,116,17
SAAVEDRA,Friday,117,11
SAAVEDRA,Friday,118,9
SAAVEDRA,Friday,119,5
SAAVEDRA,Monday,0,7
SAAVEDRA,Monday,1,7
SAAVEDRA,Monday,2,0
SAAVEDRA,Monday,3,0
SAAVEDRA,Monday,4,0
SAAVEDRA,Monday,5,0
SAAVEDRA,Monday,6,0
SAAVEDRA,Monday,7,5
SAAVEDRA,Monday,8,19
SAAVEDRA,Monday,9,21
SAAVEDRA,Monday,10,22
SAAVEDRA,Monday,11,35
SAAVEDRA,Monday,12,26
SAAVEDRA,Monday,13,36
SAAVEDRA,Monday,14,20
SAAVEDRA,Monday,15,23
SAAVEDRA,Monday,16,38
SAAVEDRA,Monday,17,34
SAAVEDRA,Monday,18,38
SAAVEDRA,Monday,19,30
SAAVEDRA,Monday,20,16
SAAVEDRA,Monday,21,23
SAAVEDRA,Monday,22,20
SAAVEDRA,Monday,23,8
SAAVEDRA,Tuesday,24,12
SAAVEDRA,Tuesday,25,4
SAAVEDRA,Tuesday,26,1
SAAVEDRA,Tuesday,27,1
SAAVEDRA,Tuesday,28,1
SAAVEDRA,Tuesday,29,0
SAAVEDRA,Tuesday,30,1
SAAVEDRA,Tuesday,31,5
SAAVEDRA,Tuesday,32,20
SAAVEDRA,Tuesday,33,34
SAAVEDRA,Tuesday,34,35
SAAVEDRA,Tuesday,35,28
SAAVEDRA,Tuesday,36,27
SAAVEDRA,Tuesday,37,42
SAAVEDRA,Tuesday,38,32
SAAVEDRA,Tuesday,39,22
SAAVEDRA,Tuesday,40,27
SAAVEDRA,Tuesday,41,40
SAAVEDRA,Tuesday,42,23
SAAVEDRA,Tuesday,43,46
SAAVEDRA,Tuesday,44,15
SAAVEDRA,Tuesday,45,11
SAAVEDRA,Tuesday,46,7
SAAVEDRA,Tuesday,47,6
